Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Result;Action
NegativeReply;2013/07/04 19:00:20;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 19:30:01;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 20:00:44;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 20:30:43;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 21:00:25;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 21:30:07;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 22:00:49;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 22:30:33;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 23:00:17;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 23:30:59;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07200;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
